Pred_Factor1,Pred_Factor2,Pred_Factor3,Pred_Factor4,Pred_Factor5,FID,Phenotype
0.7328675,0.2659685,0.045084387,0.018547922,0.5162208,HG01029,1
0.5063822,0.22525412,0.09127775,0.051880777,0.367386,HG01600,1
0.06528878,0.11408782,0.4043658,0.4094178,0.102755725,NA18998,1
0.8333578,0.30618793,0.02950865,0.009746671,0.61703646,HG00672,1
0.69703156,0.25878224,0.052202135,0.023046464,0.48522052,HG02116,1
0.1766443,0.15748164,0.22848338,0.18965048,0.19114193,HG00867,1
0.14674065,0.14001352,0.2555423,0.2186858,0.1659311,HG02150,0
0.7643627,0.28373176,0.04213631,0.016637266,0.5407628,HG00631,1
0.6306776,0.25202358,0.06456259,0.03163117,0.4443883,HG02017,1
0.15726253,0.1437884,0.24076137,0.20577449,0.17423972,NA18979,1
0.57273006,0.23401636,0.07526535,0.03868735,0.40815943,HG00693,1
0.74964345,0.2807585,0.044461936,0.018049568,0.53051883,HG02134,1
0.3808325,0.19346434,0.12004951,0.0783577,0.2995507,NA19012,1
0.2804581,0.17740571,0.16608426,0.11945692,0.2453287,HG01923,0
0.49033156,0.2309761,0.102549165,0.058737576,0.36114186,NA18548,1
0.08867413,0.13097274,0.35504186,0.34577486,0.1246503,NA18547,1
0.119469255,0.13054803,0.28621018,0.25579834,0.14736447,NA19074,1
0.76704013,0.27822557,0.040979832,0.015943795,0.5410285,HG01855,1
0.036703467,0.09909588,0.524934,0.5628806,0.07202473,NA18948,1
0.6306735,0.24799636,0.066075355,0.031715065,0.44022554,HG00671,1
0.1859859,0.15408099,0.22264275,0.18409202,0.18866077,NA19011,1
0.7463843,0.28333396,0.04372716,0.017932475,0.5358004,HG01799,1
0.64868486,0.25544512,0.06203392,0.029488772,0.45491374,HG02152,1
0.83520865,0.31247765,0.02880475,0.009369761,0.6272662,HG02389,1
0.12319994,0.1372031,0.29364634,0.2641908,0.14853829,NA18630,1
0.15851036,0.148395,0.2458387,0.21129146,0.17489603,NA18981,1
0.61644703,0.24944398,0.06910193,0.034085006,0.43558255,HG00978,1
0.17468348,0.14631337,0.22573778,0.18520316,0.18421769,NA19088,1
0.5187195,0.22656006,0.08705875,0.04865685,0.3767451,HG00445,1
0.83413804,0.30738056,0.029357076,0.0096901655,0.6188691,NA18973,1
0.8374924,0.3131855,0.028729469,0.00930804,0.62781703,HG01596,1
0.33659363,0.20576215,0.17088735,0.11178827,0.27252722,HG01847,1
0.15427572,0.14523026,0.24820802,0.21443442,0.17162758,NA18942,1
0.84361947,0.32035765,0.027996719,0.008823842,0.6379056,HG02382,1
0.101447046,0.13627973,0.34571475,0.32715833,0.13198048,NA18559,1
0.4648684,0.2246468,0.10300586,0.061151236,0.3559885,NA18757,1
0.78629106,0.29564035,0.038358867,0.014676154,0.5638344,HG02151,1
0.7697686,0.29268348,0.04091683,0.016290218,0.5521866,NA18974,1
0.78244615,0.30094755,0.04016289,0.015500873,0.5616854,HG00662,1
0.5837709,0.24263653,0.07583445,0.03959489,0.4142347,HG02121,1
0.3998583,0.20149207,0.117488176,0.07524714,0.30925277,HG02166,1
0.6813746,0.28173542,0.06424698,0.028860271,0.4774079,HG02360,1
0.82460856,0.30841702,0.031556398,0.010740757,0.60720026,HG01046,1
0.35634908,0.20001274,0.14140531,0.09410161,0.28411114,HG02185,1
0.6371751,0.25167555,0.06589991,0.031789154,0.44254202,HG02085,1
0.39810133,0.20209426,0.122544914,0.076687574,0.3071397,NA18574,1
0.75383997,0.28134415,0.043289423,0.017528713,0.53348404,HG02250,1
0.011476636,0.07570848,0.7455973,0.8154354,0.035391033,NA18626,1
0.69240713,0.27599597,0.05853471,0.026738405,0.48045352,NA18528,1
0.06594628,0.11127415,0.39762226,0.39778778,0.10296762,NA18947,1
0.5933923,0.24103376,0.07147229,0.036011815,0.42441157,HG02020,1
0.8431262,0.3134402,0.027714401,0.008796096,0.6337069,NA18536,1
0.6088444,0.24506912,0.067171454,0.032988906,0.43805435,HG02084,1
0.5383224,0.22843498,0.08488178,0.046155483,0.38237795,HG01849,1
0.4432998,0.21185616,0.10862973,0.06492159,0.33249235,NA18618,1
